00:25:20: CPU: 7.30%, Memory: 52.50%
00:25:21: CPU: 9.60%, Memory: 52.40%
00:25:22: CPU: 8.30%, Memory: 52.50%
00:25:23: CPU: 8.40%, Memory: 52.50%
00:25:24: CPU: 11.20%, Memory: 52.60%
00:25:25: CPU: 5.80%, Memory: 52.50%
00:25:26: CPU: 8.40%, Memory: 52.60%
00:25:27: CPU: 6.20%, Memory: 52.50%
00:25:28: CPU: 5.20%, Memory: 52.50%
00:25:29: CPU: 7.00%, Memory: 52.50%
00:25:30: CPU: 5.10%, Memory: 52.50%
00:25:31: CPU: 6.10%, Memory: 52.50%
00:25:32: CPU: 2.90%, Memory: 52.50%
00:25:33: CPU: 8.10%, Memory: 52.60%
00:25:34: CPU: 13.60%, Memory: 52.60%
00:25:35: CPU: 5.90%, Memory: 52.60%
00:25:36: CPU: 3.70%, Memory: 52.60%
00:25:37: CPU: 6.20%, Memory: 52.60%
00:25:38: CPU: 6.40%, Memory: 52.60%
00:25:39: CPU: 6.40%, Memory: 52.50%
00:25:40: CPU: 7.40%, Memory: 52.50%
00:25:41: CPU: 3.90%, Memory: 52.50%
00:25:42: CPU: 6.00%, Memory: 52.50%
00:25:43: CPU: 6.90%, Memory: 52.50%
00:25:44: CPU: 9.10%, Memory: 52.60%
00:25:45: CPU: 5.70%, Memory: 52.50%
00:25:46: CPU: 5.50%, Memory: 52.60%
00:25:47: CPU: 7.40%, Memory: 52.50%
00:25:48: CPU: 10.00%, Memory: 52.40%
00:25:49: CPU: 6.30%, Memory: 52.50%
00:25:50: CPU: 7.70%, Memory: 52.50%
00:25:51: CPU: 4.70%, Memory: 52.50%
00:25:52: CPU: 5.40%, Memory: 52.50%
00:25:53: CPU: 2.90%, Memory: 52.50%
00:25:54: CPU: 4.30%, Memory: 52.50%
00:25:55: CPU: 3.80%, Memory: 52.40%
00:25:56: CPU: 4.00%, Memory: 52.50%
00:25:57: CPU: 4.00%, Memory: 52.50%
00:25:58: CPU: 6.00%, Memory: 52.50%
00:25:59: CPU: 4.00%, Memory: 52.50%
00:26:00: CPU: 2.30%, Memory: 52.50%
00:26:01: CPU: 4.00%, Memory: 52.50%
00:26:02: CPU: 5.10%, Memory: 52.50%
00:26:03: CPU: 3.90%, Memory: 52.50%
00:26:04: CPU: 4.50%, Memory: 52.50%
00:26:05: CPU: 6.30%, Memory: 52.50%
00:26:06: CPU: 3.00%, Memory: 52.50%
00:26:07: CPU: 4.20%, Memory: 52.50%
00:26:08: CPU: 6.50%, Memory: 52.50%
00:26:09: CPU: 3.30%, Memory: 52.50%
00:26:10: CPU: 8.20%, Memory: 52.50%
00:26:11: CPU: 8.20%, Memory: 52.50%
00:26:12: CPU: 9.20%, Memory: 52.50%
00:26:13: CPU: 5.50%, Memory: 52.50%
00:26:14: CPU: 3.10%, Memory: 52.50%
00:26:15: CPU: 3.20%, Memory: 52.50%
00:26:16: CPU: 5.50%, Memory: 52.50%
00:26:17: CPU: 2.60%, Memory: 52.90%
00:26:18: CPU: 4.40%, Memory: 52.80%
00:26:19: CPU: 6.20%, Memory: 52.80%
00:26:19: CPU: 6.30%, Memory: 52.80%
00:26:19: CPU: 8.90%, Memory: 52.80%
00:26:20: CPU: 8.70%, Memory: 52.90%
00:26:21: CPU: 9.10%, Memory: 53.00%
00:26:21: CPU: 7.60%, Memory: 53.00%
00:26:22: CPU: 5.30%, Memory: 52.90%
00:26:23: CPU: 3.30%, Memory: 52.90%
00:26:23: CPU: 7.90%, Memory: 53.00%
00:26:24: CPU: 6.60%, Memory: 53.00%
00:26:25: CPU: 7.00%, Memory: 52.90%
00:26:25: CPU: 9.10%, Memory: 53.00%
00:26:26: CPU: 6.60%, Memory: 53.00%
00:26:27: CPU: 5.20%, Memory: 52.90%
00:26:27: CPU: 4.60%, Memory: 52.90%
00:26:28: CPU: 4.20%, Memory: 52.90%
00:26:29: CPU: 5.10%, Memory: 52.90%
00:26:30: CPU: 4.50%, Memory: 52.90%
00:26:31: CPU: 5.50%, Memory: 52.90%
00:26:31: CPU: 13.10%, Memory: 52.90%
00:26:32: CPU: 21.50%, Memory: 53.10%
00:26:33: CPU: 12.30%, Memory: 53.10%
00:26:33: CPU: 12.40%, Memory: 53.10%
00:26:34: CPU: 12.70%, Memory: 53.20%
00:26:35: CPU: 12.50%, Memory: 53.20%
00:26:35: CPU: 14.00%, Memory: 53.20%
00:26:36: CPU: 16.00%, Memory: 53.10%
00:26:37: CPU: 15.10%, Memory: 53.20%
